Problem,Choice,Slice,Slice Slot,Subslice Slot,Real Slot,,Slice Correct?,Subslice Correct?
14,choice_A,0,2,3,3,,0,1
14,choice_A,1,1,3,3,,0,1
14,choice_A,2,3,3,3,,1,1
14,choice_A,3,2,3,3,,0,1
14,choice_A,4,2,3,3,,0,1
14,choice_A,5,3,3,3,,1,1
14,choice_A,6,1,3,3,,0,1
---,---,---,---,---,---,---,---,---
14,choice_B,0,4,0,0,,0,1
14,choice_B,1,1,0,0,,0,1
14,choice_B,2,0,3,0,,1,0
14,choice_B,3,0,0,0,,1,1
14,choice_B,4,3,0,0,,0,1
14,choice_B,5,3,0,0,,0,1
14,choice_B,6,0,0,0,,1,1
---,---,---,---,---,---,---,---,---
14,choice_C,0,1,1,1,,1,1
14,choice_C,1,4,1,1,,0,1
14,choice_C,2,1,1,1,,1,1
14,choice_C,3,2,1,1,,0,1
14,choice_C,4,0,1,1,,0,1
14,choice_C,5,2,1,1,,0,1
14,choice_C,6,2,1,1,,0,1
---,---,---,---,---,---,---,---,---
---,---,---,---,---,---,---,---,---
